date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:21:30	45711/45711	---M-Z	200	added ('OK')	text/html	date:Sun,%2014%20Apr%202024%2006:08:52%20GMT	https://croptheme.com/tf/toothst/toothst-ltr/index.html	E:/master%20class%20Assingment/Project/Toothst%20Dental%20Center/croptheme.com/tf/toothst/toothst-ltr/index.html	(from )
01:21:31	110/110	---M-Z	200	added ('OK')	text/plain	date:Thu,%2012%20Feb%202026%2019:21:31%20GMT	https://croptheme.com/robots.txt		(from )
01:21:31	163831/163831	---M-Z	200	added ('OK')	text/css	date:Fri,%2017%20Feb%202023%2021:00:28%20GMT	https://croptheme.com/tf/toothst/toothst-ltr/assets/css/bootstrap.min.css	E:/master%20class%20Assingment/Project/Toothst%20Dental%20Center/croptheme.com/tf/toothst/toothst-ltr/assets/css/bootstrap.min.css	(from https://croptheme.com/tf/toothst/toothst-ltr/index.html)
01:21:31	1018/1018	---M-Z	200	added ('OK')	text/css	date:Fri,%2017%20Feb%202023%2021:00:28%20GMT	https://croptheme.com/tf/toothst/toothst-ltr/assets/css/owl.theme.default.min.css	E:/master%20class%20Assingment/Project/Toothst%20Dental%20Center/croptheme.com/tf/toothst/toothst-ltr/assets/css/owl.theme.default.min.css	(from https://croptheme.com/tf/toothst/toothst-ltr/index.html)
01:21:31	3356/3356	---M-Z	200	added ('OK')	text/css	date:Fri,%2017%20Feb%202023%2021:00:28%20GMT	https://croptheme.com/tf/toothst/toothst-ltr/assets/css/owl.carousel.min.css	E:/master%20class%20Assingment/Project/Toothst%20Dental%20Center/croptheme.com/tf/toothst/toothst-ltr/assets/css/owl.carousel.min.css	(from https://croptheme.com/tf/toothst/toothst-ltr/index.html)
01:21:32	92240/92240	---M-Z	200	added ('OK')	text/css	date:Fri,%2017%20Feb%202023%2021:00:28%20GMT	https://croptheme.com/tf/toothst/toothst-ltr/assets/css/icofont.min.css	E:/master%20class%20Assingment/Project/Toothst%20Dental%20Center/croptheme.com/tf/toothst/toothst-ltr/assets/css/icofont.min.css	(from https://croptheme.com/tf/toothst/toothst-ltr/index.html)
01:21:32	2865/2865	---M-Z	200	added ('OK')	text/css	date:Fri,%2017%20Feb%202023%2021:00:28%20GMT	https://croptheme.com/tf/toothst/toothst-ltr/assets/css/meanmenu.css	E:/master%20class%20Assingment/Project/Toothst%20Dental%20Center/croptheme.com/tf/toothst/toothst-ltr/assets/css/meanmenu.css	(from https://croptheme.com/tf/toothst/toothst-ltr/index.html)
01:21:32	59635/59635	---M-Z	200	added ('OK')	text/css	date:Fri,%2017%20Feb%202023%2021:00:28%20GMT	https://croptheme.com/tf/toothst/toothst-ltr/assets/css/animate.min.css	E:/master%20class%20Assingment/Project/Toothst%20Dental%20Center/croptheme.com/tf/toothst/toothst-ltr/assets/css/animate.min.css	(from https://croptheme.com/tf/toothst/toothst-ltr/index.html)
01:21:32	5235/5235	---M-Z	200	added ('OK')	text/css	date:Fri,%2017%20Feb%202023%2021:00:28%20GMT	https://croptheme.com/tf/toothst/toothst-ltr/assets/css/magnific-popup.min.css	E:/master%20class%20Assingment/Project/Toothst%20Dental%20Center/croptheme.com/tf/toothst/toothst-ltr/assets/css/magnific-popup.min.css	(from https://croptheme.com/tf/toothst/toothst-ltr/index.html)
01:21:33	97410/97410	---M-Z	200	added ('OK')	text/css	date:Sat,%2018%20Mar%202023%2011:19:30%20GMT	https://croptheme.com/tf/toothst/toothst-ltr/assets/css/style.css	E:/master%20class%20Assingment/Project/Toothst%20Dental%20Center/croptheme.com/tf/toothst/toothst-ltr/assets/css/style.css	(from https://croptheme.com/tf/toothst/toothst-ltr/index.html)
